Iteration	 Training error	 Validation error 
1	1.04929	0
2	1.0166	0
3	1.04519	0
4	1.052	0
5	1.04596	0
6	1.05743	0
7	1.04932	0
8	1.04873	0
9	1.0469	0
10	1.0251	0
11	1.05135	0
12	1.01376	0
13	1.10039	0
14	1.09465	0
15	0.988343	0
16	0.976443	0
17	0.969108	0
18	0.979069	0
19	0.938423	0
20	1.04695	0
21	1.03059	0
22	1.03085	0
23	1.0481	0
24	1.07615	0
25	1.06179	0
26	1.05008	0
27	1.0505	0
28	1.05048	0
29	1.05072	0
30	1.0504	0
31	1.05252	0
32	1.05864	0
33	1.05926	0
34	1.10334	0
35	1.01914	0
36	1.08936	0
37	1.14967	0
38	1.02563	0
39	1.02946	0
40	0.998075	0
41	1.12658	0
42	1.01537	0
43	1.12993	0
44	1.03018	0
45	1.15957	0
46	1.05396	0
47	1.09892	0
48	1.23101	0
49	1.22988	0
50	1.21611	0
51	1.32314	0
52	1.37924	0
53	1.0403	0
54	1.13241	0
55	1.05724	0
56	1.16618	0
57	1.17693	0
58	1.14051	0
59	1.12317	0
60	1.13146	0
61	1.14616	0
62	1.14339	0
63	1.19348	0
64	1.27805	0
65	1.1831	0
66	1.20195	0
67	1.20263	0
68	1.13397	0
501	1.20728	0
