Iteration	 Training error	 Validation error 
1	0.442359	0
2	0.34563	0
3	0.34575	0
4	0.347146	0
5	0.320699	0
6	0.352622	0
7	0.346882	0
8	0.346759	0
9	0.346727	0
10	0.346715	0
11	0.346706	0
12	0.3467	0
13	0.346695	0
14	0.34669	0
15	0.346685	0
16	0.346681	0
17	0.346678	0
18	0.346674	0
19	0.346671	0
20	0.346668	0
21	0.346665	0
22	0.346662	0
23	0.34666	0
24	0.346658	0
25	0.346655	0
26	0.346653	0
27	0.346651	0
28	0.346649	0
29	0.346647	0
30	0.346646	0
31	0.346644	0
32	0.346642	0
33	0.346641	0
34	0.346639	0
35	0.346638	0
36	0.346637	0
37	0.346635	0
38	0.346634	0
39	0.346633	0
40	0.346632	0
41	0.346631	0
42	0.346629	0
43	0.346628	0
44	0.346627	0
45	0.346626	0
46	0.346625	0
47	0.346625	0
48	0.346624	0
49	0.346623	0
50	0.346622	0
51	0.346621	0
52	0.34662	0
53	0.34662	0
54	0.346619	0
1001	0.346618	0
