Iteration	 Training error	 Validation error 
1	0.3495	0
2	0.337927	0
3	0.325178	0
4	0.291254	0
5	0.23817	0
6	0.179041	0
7	0.134356	0
8	0.10693	0
9	0.0906542	0
10	0.0805382	0
11	0.073693	0
12	0.068526	0
13	0.064135	0
14	0.0601407	0
15	0.0564815	0
16	0.0529908	0
17	0.0495299	0
18	0.0461346	0
19	0.042863	0
20	0.0397237	0
21	0.0367437	0
22	0.0339004	0
23	0.0312816	0
24	0.0289992	0
25	0.0269398	0
26	0.0251278	0
27	0.0235867	0
28	0.0222691	0
29	0.0211092	0
30	0.0200625	0
31	0.0191232	0
32	0.0182817	0
33	0.0175205	0
34	0.0168247	0
35	0.0161846	0
36	0.0155941	0
37	0.015048	0
38	0.0145412	0
39	0.0140691	0
40	0.0136278	0
41	0.0132137	0
42	0.012824	0
43	0.0124561	0
44	0.0121078	0
45	0.0117772	0
46	0.0114627	0
47	0.0111629	0
48	0.0108767	0
49	0.0106029	0
50	0.0103407	0
51	0.0100893	0
52	0.00984793	0
53	0.00961595	0
54	0.00939273	0
55	0.00917769	0
56	0.00897032	0
57	0.00877013	0
58	0.0085767	0
59	0.00838964	0
60	0.00820858	0
61	0.00803322	0
62	0.00786327	0
63	0.00769849	0
64	0.00753863	0
65	0.0073835	0
66	0.0072329	0
67	0.00708667	0
68	0.00694464	0
69	0.00680667	0
70	0.0066726	0
71	0.00654231	0
72	0.00641565	0
73	0.0062925	0
74	0.00617272	0
75	0.00605619	0
76	0.00594279	0
77	0.00583238	0
78	0.00572486	0
79	0.00562009	0
80	0.00551799	0
81	0.00541842	0
82	0.00532131	0
83	0.00522654	0
84	0.00513404	0
85	0.00504371	0
86	0.0049555	0
87	0.00486932	0
88	0.00478511	0
89	0.00470284	0
90	0.00462243	0
91	0.00454386	0
92	0.00446709	0
93	0.00439208	0
94	0.00431881	0
95	0.00424724	0
96	0.00417737	0
97	0.00410916	0
98	0.0040426	0
99	0.00397767	0
100	0.00391434	0
101	0.00385261	0
102	0.00379243	0
103	0.0037338	0
104	0.00367669	0
105	0.00362108	0
106	0.00356692	0
107	0.00351421	0
108	0.00346289	0
109	0.00341295	0
110	0.00336435	0
111	0.00331705	0
112	0.00327103	0
113	0.00322623	0
114	0.00318264	0
115	0.00314021	0
116	0.0030989	0
117	0.00305868	0
118	0.00301952	0
119	0.00298138	0
120	0.00294423	0
121	0.00290803	0
122	0.00287275	0
123	0.00283836	0
124	0.00280483	0
125	0.00277213	0
126	0.00274023	0
127	0.0027091	0
128	0.00267873	0
129	0.00264907	0
130	0.00262011	0
131	0.00259182	0
132	0.00256418	0
133	0.00253718	0
134	0.00251077	0
135	0.00248496	0
136	0.00245971	0
137	0.00243501	0
138	0.00241085	0
139	0.00238719	0
140	0.00236404	0
141	0.00234137	0
142	0.00231916	0
143	0.0022974	0
144	0.00227609	0
145	0.0022552	0
146	0.00223471	0
147	0.00221463	0
148	0.00219494	0
149	0.00217562	0
150	0.00215667	0
151	0.00213807	0
152	0.00211982	0
153	0.0021019	0
154	0.00208431	0
155	0.00206703	0
156	0.00205006	0
157	0.00203339	0
158	0.00201701	0
159	0.00200092	0
160	0.0019851	0
161	0.00196954	0
162	0.00195425	0
163	0.00193922	0
164	0.00192443	0
165	0.00190988	0
166	0.00189557	0
167	0.00188149	0
168	0.00186763	0
169	0.00185399	0
170	0.00184056	0
171	0.00182734	0
172	0.00181433	0
173	0.00180151	0
174	0.00178889	0
175	0.00177645	0
176	0.0017642	0
177	0.00175213	0
178	0.00174024	0
179	0.00172852	0
180	0.00171697	0
181	0.00170558	0
182	0.00169436	0
183	0.00168329	0
184	0.00167237	0
185	0.00166161	0
186	0.00165099	0
187	0.00164052	0
188	0.00163019	0
189	0.00162	0
190	0.00160994	0
191	0.00160002	0
192	0.00159023	0
193	0.00158056	0
194	0.00157102	0
