Iteration	 Training error	 Validation error 
1	0.306312	0
2	0.29193	0
3	0.284778	0
4	0.279865	0
5	0.275278	0
6	0.27078	0
7	0.26628	0
8	0.261662	0
9	0.256909	0
10	0.25196	0
11	0.246683	0
12	0.241106	0
13	0.235327	0
14	0.229443	0
15	0.223502	0
16	0.217574	0
17	0.211766	0
18	0.206126	0
19	0.200579	0
20	0.195106	0
21	0.189765	0
22	0.184651	0
23	0.17969	0
24	0.174795	0
25	0.170118	0
26	0.165844	0
27	0.161729	0
28	0.157642	0
29	0.153681	0
30	0.150359	0
31	0.146994	0
32	0.143903	0
33	0.140262	0
34	0.138761	0
35	0.135412	0
36	0.13418	0
37	0.13039	0
38	0.133596	0
39	0.126887	0
40	0.13093	0
41	0.123756	0
42	0.136947	0
43	0.117108	0
44	0.131797	0
45	0.115263	0
46	0.12736	0
47	0.119348	0
48	0.113343	0
49	0.116221	0
50	0.107037	0
51	0.113301	0
52	0.101383	0
53	0.103003	0
54	0.10316	0
55	0.0983563	0
56	0.102337	0
57	0.0947356	0
58	0.0937824	0
59	0.0970116	0
60	0.088645	0
61	0.0953214	0
62	0.0831254	0
63	0.0920335	0
64	0.0819096	0
65	0.0884549	0
66	0.0801704	0
67	0.0832346	0
68	0.0805304	0
69	0.080123	0
70	0.0816994	0
71	0.0801066	0
72	0.0853955	0
73	0.0747735	0
74	0.0910519	0
75	0.0761101	0
76	0.101115	0
77	0.0719738	0
78	0.0902056	0
79	0.0708408	0
80	0.0823711	0
81	0.0746865	0
82	0.0721946	0
83	0.0717586	0
84	0.0658128	0
85	0.0693634	0
86	0.0649109	0
87	0.0613048	0
88	0.0590338	0
89	0.0581192	0
90	0.058967	0
91	0.0599788	0
92	0.0553273	0
93	0.0542077	0
94	0.0519404	0
95	0.0517415	0
96	0.0516932	0
97	0.0481703	0
98	0.0480937	0
99	0.045926	0
100	0.0468747	0
101	0.0447037	0
102	0.0440658	0
103	0.0438939	0
104	0.0425499	0
105	0.0438181	0
106	0.0419194	0
107	0.0414888	0
108	0.0411837	0
109	0.0406424	0
110	0.0402102	0
111	0.0386152	0
112	0.0398914	0
113	0.0387064	0
114	0.0376699	0
115	0.0371677	0
116	0.0369413	0
117	0.0359158	0
118	0.0364372	0
119	0.0340961	0
120	0.0345435	0
121	0.0339222	0
122	0.033711	0
123	0.0327897	0
124	0.0328053	0
125	0.0326076	0
126	0.0329454	0
127	0.031617	0
128	0.0340491	0
129	0.0323095	0
130	0.0313909	0
131	0.0304138	0
132	0.0294474	0
133	0.0291773	0
134	0.0288051	0
135	0.0282166	0
136	0.0274891	0
137	0.0267177	0
138	0.0264279	0
139	0.0261027	0
140	0.0257103	0
141	0.0254165	0
142	0.0252832	0
143	0.0249101	0
144	0.024625	0
145	0.0243321	0
146	0.0243655	0
147	0.0237978	0
148	0.0236404	0
149	0.0233774	0
150	0.0232104	0
151	0.0232349	0
152	0.0226318	0
153	0.0225011	0
154	0.0221832	0
155	0.0219695	0
156	0.0218538	0
157	0.0214488	0
158	0.0212451	0
159	0.0210236	0
160	0.0208051	0
161	0.0205652	0
162	0.0203388	0
163	0.0201484	0
164	0.0199676	0
165	0.0197855	0
166	0.0196085	0
167	0.0194508	0
168	0.0193252	0
169	0.0191907	0
170	0.0190317	0
171	0.0188552	0
172	0.0186622	0
173	0.0184784	0
174	0.0182881	0
175	0.0180855	0
176	0.0179037	0
177	0.0177293	0
178	0.0175472	0
179	0.0173778	0
180	0.0172157	0
181	0.0170557	0
182	0.0169084	0
183	0.0167593	0
184	0.0166047	0
185	0.0164483	0
186	0.0162954	0
187	0.0161477	0
188	0.0160038	0
189	0.0158614	0
190	0.0157185	0
191	0.0155761	0
192	0.0154377	0
193	0.015304	0
194	0.0151721	0
195	0.0150375	0
196	0.0148938	0
197	0.0147552	0
198	0.0146285	0
199	0.0145054	0
200	0.0143829	0
201	0.0142608	0
202	0.0141413	0
203	0.0140232	0
204	0.0139054	0
205	0.0137922	0
206	0.0136845	0
207	0.0135809	0
208	0.0134804	0
209	0.0133824	0
210	0.0132866	0
211	0.0131929	0
212	0.0131009	0
213	0.0130102	0
214	0.0129201	0
215	0.01283	0
216	0.0127406	0
217	0.0126536	0
218	0.0125667	0
219	0.0124783	0
220	0.0123922	0
221	0.0123104	0
222	0.0122308	0
223	0.0121517	0
224	0.0120738	0
225	0.011998	0
226	0.0119251	0
227	0.0118575	0
228	0.011798	0
229	0.0117414	0
230	0.0116825	0
231	0.0116226	0
232	0.0115573	0
233	0.0114839	0
234	0.0114074	0
235	0.0113324	0
236	0.0112587	0
237	0.0111836	0
238	0.0111072	0
239	0.0110323	0
240	0.0109596	0
241	0.0108878	0
242	0.0108169	0
243	0.0107467	0
244	0.0106774	0
245	0.0106091	0
246	0.010542	0
247	0.0104764	0
248	0.010413	0
249	0.0103524	0
250	0.0102946	0
251	0.0102387	0
252	0.0101829	0
253	0.010127	0
254	0.0100716	0
255	0.0100168	0
256	0.00996205	0
257	0.00990789	0
258	0.00985565	0
259	0.00980712	0
260	0.0097645	0
261	0.00972928	0
262	0.00969464	0
263	0.00964986	0
264	0.00959568	0
265	0.00953795	0
266	0.00948048	0
267	0.00942427	0
268	0.00936825	0
269	0.00931195	0
270	0.00926612	0
271	0.00921547	0
272	0.00917851	0
273	0.00914687	0
274	0.00910855	0
275	0.0090592	0
276	0.00900335	0
277	0.00894634	0
278	0.00889012	0
279	0.00883496	0
280	0.00878083	0
281	0.00872796	0
282	0.00867669	0
283	0.00862705	0
284	0.00857879	0
285	0.00853166	0
286	0.00848555	0
287	0.00844042	0
288	0.00839637	0
289	0.00835359	0
290	0.00831241	0
291	0.00827332	0
292	0.00823675	0
293	0.00820242	0
294	0.00816838	0
295	0.00813161	0
296	0.00809118	0
