Iteration	 Training error	 Validation error 
1	0.389708	0
2	0.361385	0
3	0.351018	0
4	0.348218	0
5	0.347154	0
6	0.346312	0
7	0.345252	0
8	0.343773	0
9	0.341713	0
10	0.338845	0
11	0.334831	0
12	0.329202	0
13	0.321405	0
14	0.310944	0
15	0.297644	0
16	0.281897	0
17	0.264639	0
18	0.246901	0
19	0.229149	0
20	0.210839	0
21	0.190381	0
22	0.165757	0
23	0.13687	0
24	0.108876	0
25	0.0884318	0
26	0.0758756	0
27	0.0676299	0
28	0.0611272	0
29	0.0559296	0
30	0.051794	0
31	0.0489102	0
32	0.0454962	0
33	0.0406905	0
34	0.0369074	0
35	0.0338909	0
36	0.0319371	0
37	0.0287472	0
38	0.0260502	0
39	0.0239609	0
40	0.0228135	0
41	0.0213058	0
42	0.0192072	0
43	0.0179052	0
44	0.0168022	0
45	0.016029	0
46	0.0150734	0
47	0.0142232	0
48	0.0135606	0
49	0.0129526	0
50	0.0124191	0
51	0.0119242	0
52	0.0114607	0
53	0.0110357	0
54	0.0106454	0
55	0.0102839	0
56	0.00994701	0
57	0.00963193	0
58	0.00933647	0
59	0.00905887	0
60	0.00879755	0
61	0.00855109	0
62	0.00831822	0
63	0.0080978	0
64	0.00788885	0
65	0.00769047	0
66	0.00750186	0
67	0.00732231	0
68	0.00715116	0
69	0.00698782	0
70	0.00683178	0
71	0.00668255	0
72	0.00653968	0
73	0.00640278	0
74	0.00627146	0
75	0.0061454	0
76	0.00602429	0
77	0.00590783	0
78	0.00579576	0
79	0.00568784	0
80	0.00558384	0
81	0.00548354	0
82	0.00538675	0
83	0.0052933	0
84	0.00520301	0
85	0.00511571	0
86	0.00503128	0
87	0.00494956	0
88	0.00487042	0
89	0.00479376	0
90	0.00471944	0
91	0.00464737	0
92	0.00457745	0
93	0.00450957	0
94	0.00444366	0
95	0.00437962	0
96	0.00431739	0
97	0.00425688	0
98	0.00419802	0
99	0.00414074	0
100	0.00408499	0
101	0.00403071	0
102	0.00397783	0
103	0.0039263	0
104	0.00387607	0
105	0.0038271	0
106	0.00377934	0
107	0.00373273	0
108	0.00368725	0
109	0.00364285	0
110	0.00359949	0
111	0.00355713	0
112	0.00351575	0
113	0.00347531	0
114	0.00343578	0
115	0.00339712	0
116	0.00335932	0
117	0.00332233	0
118	0.00328614	0
119	0.00325072	0
120	0.00321605	0
121	0.00318209	0
122	0.00314884	0
123	0.00311627	0
124	0.00308435	0
125	0.00305307	0
126	0.00302242	0
127	0.00299236	0
128	0.00296289	0
129	0.00293399	0
130	0.00290563	0
131	0.00287782	0
132	0.00285052	0
133	0.00282374	0
134	0.00279744	0
135	0.00277162	0
136	0.00274627	0
137	0.00272138	0
138	0.00269692	0
139	0.0026729	0
140	0.0026493	0
141	0.0026261	0
142	0.0026033	0
143	0.0025809	0
144	0.00255886	0
145	0.0025372	0
146	0.0025159	0
147	0.00249495	0
148	0.00247434	0
149	0.00245407	0
150	0.00243412	0
151	0.00241449	0
152	0.00239517	0
153	0.00237616	0
154	0.00235744	0
155	0.00233901	0
156	0.00232087	0
157	0.002303	0
158	0.0022854	0
159	0.00226807	0
160	0.002251	0
161	0.00223418	0
162	0.00221761	0
163	0.00220128	0
164	0.00218518	0
165	0.00216932	0
166	0.00215369	0
167	0.00213828	0
168	0.00212308	0
169	0.0021081	0
170	0.00209333	0
171	0.00207876	0
172	0.00206439	0
173	0.00205022	0
174	0.00203624	0
175	0.00202244	0
176	0.00200884	0
177	0.00199541	0
178	0.00198216	0
179	0.00196909	0
180	0.00195618	0
181	0.00194345	0
182	0.00193087	0
183	0.00191846	0
184	0.00190621	0
185	0.00189411	0
186	0.00188216	0
187	0.00187036	0
188	0.00185871	0
189	0.0018472	0
190	0.00183584	0
191	0.00182461	0
192	0.00181352	0
193	0.00180256	0
194	0.00179173	0
195	0.00178103	0
196	0.00177046	0
197	0.00176001	0
198	0.00174969	0
199	0.00173949	0
200	0.0017294	0
201	0.00171943	0
202	0.00170957	0
203	0.00169983	0
204	0.00169019	0
205	0.00168067	0
206	0.00167125	0
207	0.00166194	0
208	0.00165272	0
209	0.00164361	0
210	0.0016346	0
211	0.00162569	0
212	0.00161688	0
213	0.00160816	0
214	0.00159953	0
215	0.001591	0
216	0.00158255	0
217	0.0015742	0
218	0.00156593	0
219	0.00155775	0
220	0.00154965	0
221	0.00154164	0
222	0.00153371	0
223	0.00152586	0
224	0.00151809	0
225	0.0015104	0
226	0.00150279	0
227	0.00149525	0
228	0.00148779	0
229	0.0014804	0
230	0.00147309	0
231	0.00146584	0
232	0.00145867	0
233	0.00145157	0
234	0.00144454	0
235	0.00143757	0
236	0.00143067	0
237	0.00142384	0
238	0.00141707	0
239	0.00141037	0
240	0.00140373	0
241	0.00139715	0
242	0.00139064	0
243	0.00138418	0
244	0.00137778	0
245	0.00137144	0
246	0.00136516	0
247	0.00135894	0
248	0.00135278	0
249	0.00134667	0
250	0.00134061	0
251	0.00133461	0
252	0.00132866	0
253	0.00132277	0
254	0.00131692	0
255	0.00131113	0
256	0.00130539	0
257	0.0012997	0
258	0.00129406	0
259	0.00128847	0
260	0.00128292	0
261	0.00127743	0
262	0.00127198	0
263	0.00126657	0
264	0.00126122	0
265	0.0012559	0
266	0.00125063	0
267	0.00124541	0
268	0.00124023	0
269	0.00123509	0
270	0.00123	0
271	0.00122494	0
272	0.00121993	0
273	0.00121496	0
274	0.00121003	0
275	0.00120514	0
276	0.00120029	0
277	0.00119547	0
278	0.0011907	0
279	0.00118596	0
280	0.00118126	0
281	0.0011766	0
282	0.00117198	0
283	0.00116739	0
284	0.00116284	0
285	0.00115832	0
286	0.00115383	0
287	0.00114939	0
288	0.00114497	0
289	0.00114059	0
290	0.00113625	0
291	0.00113193	0
292	0.00112765	0
293	0.0011234	0
294	0.00111918	0
295	0.001115	0
296	0.00111084	0
297	0.00110672	0
298	0.00110263	0
299	0.00109857	0
300	0.00109453	0
301	0.00109053	0
302	0.00108655	0
303	0.00108261	0
304	0.00107869	0
305	0.0010748	0
306	0.00107094	0
307	0.00106711	0
308	0.0010633	0
309	0.00105952	0
310	0.00105577	0
311	0.00105205	0
312	0.00104835	0
313	0.00104467	0
314	0.00104103	0
315	0.0010374	0
316	0.00103381	0
317	0.00103023	0
318	0.00102669	0
319	0.00102316	0
320	0.00101966	0
321	0.00101619	0
322	0.00101273	0
323	0.00100931	0
324	0.0010059	0
325	0.00100252	0
326	0.000999158	0
327	0.00099582	0
328	0.000992505	0
329	0.000989211	0
330	0.00098594	0
331	0.00098269	0
332	0.000979461	0
333	0.000976253	0
334	0.000973067	0
335	0.000969901	0
336	0.000966755	0
337	0.00096363	0
338	0.000960525	0
339	0.00095744	0
340	0.000954375	0
341	0.000951329	0
342	0.000948303	0
343	0.000945295	0
344	0.000942307	0
345	0.000939338	0
346	0.000936387	0
347	0.000933455	0
348	0.000930541	0
349	0.000927645	0
350	0.000924767	0
351	0.000921907	0
352	0.000919064	0
353	0.000916239	0
354	0.000913431	0
355	0.000910641	0
356	0.000907867	0
357	0.00090511	0
358	0.00090237	0
359	0.000899646	0
360	0.000896939	0
361	0.000894248	0
362	0.000891573	0
363	0.000888914	0
364	0.000886271	0
365	0.000883643	0
366	0.000881031	0
367	0.000878434	0
368	0.000875853	0
369	0.000873287	0
370	0.000870735	0
371	0.000868199	0
372	0.000865677	0
373	0.00086317	0
374	0.000860677	0
375	0.000858199	0
376	0.000855734	0
377	0.000853284	0
378	0.000850848	0
379	0.000848426	0
380	0.000846017	0
381	0.000843622	0
382	0.000841241	0
383	0.000838873	0
384	0.000836518	0
385	0.000834177	0
386	0.000831848	0
387	0.000829533	0
388	0.00082723	0
389	0.00082494	0
390	0.000822662	0
391	0.000820398	0
392	0.000818145	0
393	0.000815905	0
394	0.000813677	0
395	0.000811461	0
396	0.000809258	0
397	0.000807066	0
398	0.000804886	0
399	0.000802717	0
400	0.000800561	0
401	0.000798416	0
