Iteration	 Training error	 Validation error 
1	0.339928	0
2	0.307163	0
3	0.293757	0
4	0.283449	0
5	0.275097	0
6	0.26866	0
7	0.26352	0
8	0.258993	0
9	0.254775	0
10	0.2508	0
11	0.247037	0
12	0.243356	0
13	0.239655	0
14	0.235983	0
15	0.232389	0
16	0.228859	0
17	0.225425	0
18	0.222125	0
19	0.218969	0
20	0.21597	0
21	0.213129	0
22	0.210445	0
23	0.207913	0
24	0.205512	0
25	0.203214	0
26	0.200993	0
27	0.198815	0
28	0.196628	0
29	0.194356	0
30	0.191916	0
31	0.189235	0
32	0.186252	0
33	0.182932	0
34	0.179531	0
35	0.176393	0
36	0.173551	0
37	0.170947	0
38	0.168417	0
39	0.165918	0
40	0.163402	0
41	0.16076	0
42	0.158209	0
43	0.155709	0
44	0.153482	0
45	0.151327	0
46	0.149287	0
47	0.147211	0
48	0.145197	0
49	0.143292	0
50	0.141444	0
51	0.139676	0
52	0.137869	0
53	0.136252	0
54	0.134589	0
55	0.1331	0
56	0.131372	0
57	0.129968	0
58	0.128289	0
59	0.127104	0
60	0.125407	0
61	0.124428	0
62	0.122708	0
63	0.121981	0
64	0.120296	0
65	0.119738	0
66	0.118201	0
67	0.117691	0
68	0.11654	0
69	0.115579	0
70	0.115142	0
71	0.113529	0
72	0.113908	0
73	0.11151	0
74	0.112432	0
75	0.10979	0
76	0.110423	0
77	0.108389	0
78	0.108491	0
79	0.107373	0
80	0.106444	0
81	0.106367	0
82	0.104862	0
83	0.105394	0
84	0.103593	0
85	0.103895	0
86	0.102595	0
87	0.102529	0
88	0.101812	0
89	0.101079	0
90	0.100966	0
91	0.0998931	0
92	0.100071	0
93	0.0988573	0
94	0.0988967	0
95	0.09793	0
96	0.0977321	0
97	0.0971117	0
98	0.0964297	0
99	0.0961857	0
100	0.0953171	0
101	0.095227	0
102	0.0942025	0
103	0.0939629	0
104	0.0930901	0
105	0.0927642	0
106	0.0921792	0
107	0.0915487	0
108	0.0911659	0
