Iteration	 Training error	 Validation error 
1	0.304615	0
2	0.295115	0
3	0.291767	0
4	0.287788	0
5	0.28451	0
6	0.281575	0
7	0.278595	0
8	0.275731	0
9	0.272814	0
10	0.269808	0
11	0.266698	0
12	0.263423	0
13	0.259997	0
14	0.256458	0
15	0.252829	0
16	0.249102	0
17	0.245267	0
18	0.241366	0
19	0.237411	0
20	0.233375	0
21	0.229285	0
22	0.225164	0
23	0.22103	0
24	0.216911	0
25	0.212831	0
26	0.208812	0
27	0.204877	0
28	0.201039	0
29	0.197298	0
30	0.193648	0
31	0.190059	0
32	0.186536	0
33	0.183097	0
34	0.179741	0
35	0.176466	0
36	0.17326	0
37	0.170115	0
38	0.167018	0
39	0.163957	0
40	0.160971	0
41	0.158046	0
42	0.155112	0
43	0.152173	0
44	0.149302	0
45	0.146547	0
46	0.14387	0
47	0.141217	0
48	0.138652	0
49	0.136206	0
50	0.133812	0
51	0.131401	0
52	0.129146	0
53	0.127023	0
54	0.124926	0
55	0.122682	0
56	0.120923	0
57	0.118704	0
58	0.117816	0
59	0.114561	0
60	0.115896	0
61	0.111045	0
62	0.114727	0
63	0.10762	0
64	0.114221	0
65	0.105118	0
66	0.121294	0
67	0.106299	0
68	0.112541	0
69	0.100513	0
70	0.112607	0
71	0.103602	0
72	0.103972	0
73	0.0993372	0
74	0.0993444	0
75	0.102624	0
76	0.0909295	0
77	0.102454	0
78	0.0887201	0
79	0.103382	0
80	0.0886627	0
81	0.0923945	0
82	0.0849885	0
83	0.0878639	0
84	0.086746	0
85	0.0806093	0
86	0.0813909	0
87	0.078885	0
88	0.0792992	0
89	0.0762254	0
90	0.075334	0
91	0.0743657	0
92	0.0751861	0
93	0.074826	0
94	0.070997	0
95	0.0732523	0
96	0.0702411	0
97	0.0752816	0
98	0.068755	0
99	0.0733919	0
100	0.0661074	0
101	0.0757603	0
102	0.0685815	0
103	0.0704414	0
104	0.0661184	0
105	0.0715066	0
106	0.0685653	0
107	0.0672201	0
108	0.0671476	0
109	0.0642307	0
110	0.069564	0
111	0.0618756	0
112	0.0700259	0
113	0.0605842	0
114	0.0730013	0
115	0.0602733	0
116	0.0679307	0
117	0.062158	0
118	0.065922	0
119	0.0619837	0
120	0.0571339	0
121	0.057436	0
122	0.0564725	0
123	0.0578636	0
124	0.0550526	0
125	0.0539546	0
126	0.0529144	0
127	0.0520909	0
128	0.0517411	0
129	0.0509499	0
130	0.0504492	0
131	0.049885	0
132	0.0497311	0
133	0.0492188	0
134	0.0485611	0
135	0.0483015	0
136	0.0482977	0
137	0.0482112	0
138	0.0471605	0
139	0.0473679	0
140	0.0468531	0
141	0.047127	0
142	0.0459444	0
143	0.046065	0
144	0.0459738	0
145	0.0453136	0
146	0.0451748	0
147	0.0442061	0
148	0.0449131	0
149	0.0437123	0
150	0.043722	0
151	0.0431963	0
152	0.0433845	0
153	0.0444526	0
154	0.0421523	0
155	0.0452803	0
156	0.0421267	0
157	0.0455578	0
158	0.0412031	0
159	0.0488483	0
160	0.041057	0
161	0.0466232	0
162	0.0405561	0
163	0.0517386	0
164	0.042719	0
165	0.0494347	0
166	0.0426094	0
167	0.0694766	0
168	0.0465057	0
169	0.0627198	0
170	0.0462359	0
171	0.0635308	0
172	0.0482909	0
173	0.0490318	0
174	0.0453604	0
175	0.0432194	0
176	0.0430596	0
177	0.0398794	0
178	0.0405068	0
179	0.0392425	0
180	0.0383825	0
181	0.0377926	0
182	0.0375554	0
183	0.0374921	0
184	0.0368784	0
185	0.0365506	0
186	0.0361958	0
187	0.0361696	0
188	0.0358644	0
189	0.0355012	0
190	0.035276	0
191	0.0352162	0
192	0.0350908	0
193	0.0347245	0
194	0.0344651	0
195	0.0343372	0
196	0.0343085	0
197	0.0340977	0
198	0.0338464	0
199	0.0336853	0
200	0.0336159	0
201	0.0335195	0
202	0.0332995	0
203	0.0331105	0
204	0.032985	0
205	0.0329025	0
206	0.0327912	0
207	0.0326311	0
208	0.0324771	0
209	0.0323567	0
210	0.0322564	0
211	0.0321444	0
212	0.0320156	0
213	0.0318912	0
214	0.0317818	0
215	0.0316794	0
216	0.0315717	0
217	0.031458	0
218	0.0313466	0
219	0.0312422	0
220	0.031142	0
221	0.031042	0
222	0.0309426	0
223	0.0308472	0
224	0.0307572	0
225	0.0306691	0
226	0.0305767	0
227	0.0304759	0
228	0.0303693	0
229	0.0302633	0
230	0.0301634	0
231	0.0300679	0
232	0.029969	0
233	0.0298657	0
234	0.0297634	0
235	0.0296632	0
236	0.0295609	0
237	0.0294543	0
238	0.0293472	0
